Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
USDBTC,Bitcoin per United States Dollar,Exchange Rates - Market,United States Dollar,United States,,,,,,,National Currency,Units,Stock,none,Daily From Jul 2010 To Apr 2024<BR>,,
Date,Ticker,Open,High,Low,Close
12/10/2023,USDBTC,43749,44065,43625,43809
12/11/2023,USDBTC,43809,43840,40286,41287
12/12/2023,USDBTC,41256.1,42070.9,40691.5,41487
12/13/2023,USDBTC,41501,43424,40682,42924
12/14/2023,USDBTC,42924,43434,41601,43064
12/15/2023,USDBTC,43064,43106,41742,41961
12/16/2023,USDBTC,41961,42746,41714,42328
12/17/2023,USDBTC,42328,42442,41304,41406
12/18/2023,USDBTC,41406,42753,40556,42672
12/19/2023,USDBTC,42672,43429,41850,42315
12/20/2023,USDBTC,42315,44336,42245,43662
12/21/2023,USDBTC,43662,44250,43363,43890
12/22/2023,USDBTC,43890,44444,43480,44038
12/23/2023,USDBTC,44038,44068,43342,43801
12/24/2023,USDBTC,43801,43975,42700,43026
12/25/2023,USDBTC,43026,43880,42784,43641
12/26/2023,USDBTC,43641,43649,41772,42568
12/27/2023,USDBTC,42568,43666,42178,43476
12/28/2023,USDBTC,43476,43793,42388,42617
12/29/2023,USDBTC,42617,43168,41433,42139
12/30/2023,USDBTC,42139,42664,41585,42199
12/31/2023,USDBTC,42199,42938,42023,42323
01/01/2024,USDBTC,42323,44190,42232,44175
01/02/2024,USDBTC,44175,45892,44175,44991
01/03/2024,USDBTC,44991,45559,40499,42869
01/04/2024,USDBTC,42836.1,44744.5,42632.8,44157
01/05/2024,USDBTC,44221,44415,42746,44189
01/06/2024,USDBTC,44189,44263,43461,44005
01/07/2024,USDBTC,44005,44500,43638,43960
01/08/2024,USDBTC,43960,47205,43244,46941
01/09/2024,USDBTC,46941,47845,45133,46113
01/10/2024,USDBTC,46113,47572,44352,46636
01/11/2024,USDBTC,46636,48750,45650,46377
01/12/2024,USDBTC,46377,46508,41574,42831
01/13/2024,USDBTC,42831,43250,42441,42847
01/14/2024,USDBTC,42847,43075,41719,41737
01/15/2024,USDBTC,41737,43359,41705,42508
01/16/2024,USDBTC,42508,43588,42107,43163
01/17/2024,USDBTC,43163,43215,42237,42778
01/18/2024,USDBTC,42778,42932,40704,41337
01/19/2024,USDBTC,41337,42212,40364,41719
01/20/2024,USDBTC,41714,41942,41525,41778
01/21/2024,USDBTC,41778,41945,41588,41679
01/22/2024,USDBTC,41679,41775,39461,39599
01/23/2024,USDBTC,39599,40215,38572,39938
01/24/2024,USDBTC,39938,40590,39533,40140
